models,ngrams,Text_vectorization,accuracy_score,precision_score,f1_score,recall_score
SVM,"(1,3)",TF-IDF,0.97,0.9704317876370314,0.9695868418183844,0.9695121951219512
Logistic Regression,"(1,3)",TF-IDF,0.967,0.9665606661131428,0.9661979677163123,0.9670177383592018
Decision Tree,"(1,3)",TF-IDF,0.949,0.9520789037914402,0.9503457666829923,0.9492793791574279
Naive Bayes,"(1,3)",TF-IDF,0.937,0.9379643224194254,0.9282210587457383,0.9368070953436807
KNN,"(1,3)",TF-IDF,0.94,0.9380278841210912,0.9337982688741304,0.9401330376940134
