models,ngrams,Text_vectorization,accuracy_score,precision_score,f1_score,recall_score
SVM,"(1,3)",BOW(CountVectorizer),0.972,0.971503933618418,0.971575535613425,0.9717294900221729
Logistic Regression,"(1,3)",BOW(CountVectorizer),0.974,0.973660565480443,0.9738061378902992,0.9742239467849224
Decision Tree,"(1,3)",BOW(CountVectorizer),0.959,0.9586776930082757,0.9587055540724712,0.9588414634146342
Naive Bayes,"(1,3)",BOW(CountVectorizer),0.966,0.9651536865904091,0.9649728878839752,0.9657705099778271
KNN,"(1,3)",BOW(CountVectorizer),0.947,0.9451658267907426,0.9419609067381974,0.9469235033259423
