models,ngrams,Text_vectorization,accuracy_score,precision_score,f1_score,recall_score
SVM,default,TF-IDF,0.972,0.970973225134656,0.9710068156973793,0.9715909090909091
Logistic Regression,default,TF-IDF,0.969,0.9677693056382235,0.9678614463971703,0.9689578713968958
Decision Tree,default,TF-IDF,0.951,0.9508484175000238,0.9508208856828281,0.9508037694013304
Naive Bayes,default,TF-IDF,0.914,0.9162625487653905,0.8948098499958215,0.914079822616408
KNN,default,TF-IDF,0.947,0.9444753645241065,0.9433370769933472,0.94720066518847
