models,ngrams,Text_vectorization,accuracy_score,precision_score,f1_score,recall_score
SVM,"(1,2)",TF-IDF,0.972,0.9721701603119361,0.971779563912194,0.9720066518847007
Logistic Regression,"(1,2)",TF-IDF,0.969,0.9681728229626863,0.9680088233697949,0.9689578713968958
Decision Tree,"(1,2)",TF-IDF,0.949,0.951033816067159,0.9500572536005781,0.9494179600886918
Naive Bayes,"(1,2)",TF-IDF,0.931,0.9319676931913266,0.9196434680464236,0.9305709534368071
KNN,"(1,2)",TF-IDF,0.942,0.9396199131628776,0.9362088529225587,0.9419345898004434
